,title,subtitle,link
38,FINAL FAREWELL,Updates on Minecraft YouTube star who died at 23 as sarcoma battle revealed,https://www.thesun.co.uk/tech/19056978/youtuber-technoblade-death-sarcoma-cancer-live-updates/
39,ROYAL TRUCE,Queen 'drawing a line' under Meghan & Harry drama as report to remain SECRET,https://www.thesun.co.uk/fabulous/19033920/meghan-markle-news-prince-harry-latest-queen-bullying/
40,WASHOUT,Brits told to prepare for stormy weekend before 30C Azores heatwave hits nation,https://www.thesun.co.uk/news/19051154/uk-weather-forecast-latest-met-office-warnings-heatwave/
41,LADIES' NIGHT,Love Island's stunning Casa Amor GIRLS revealed as they arrive to tempt boys,https://www.thesun.co.uk/tv/19066808/love-island-casa-amor-girls-revealed/
42,HERE COMES TROUBLE,Love Island's Casa Amor boys revealed - and one has a world famous dad,https://www.thesun.co.uk/tv/19063765/love-island-casa-amor-boys-ronan-keating-jack/
43,'WHAT?',Love Island fans stunned as Antigoni and Charlie are brutally dumped,https://www.thesun.co.uk/tv/19066197/love-island-antigoni-charlie-brutally-dumped/
44,'WHAT HAPPENED',Love Island fans spot 'secret feud' claiming Paige hates a fellow Islander,https://www.thesun.co.uk/tv/19066485/love-island-secret-feud-paige-hates-islander/
45,GIRL'S CASA,Love Island reveals first look at Casa Amor as the GIRLS are set to head in,https://www.thesun.co.uk/tv/19064060/love-island-first-look-casa-amor-girls-new-boys/
46,MET SHAME,Two Met cops sacked after posting sick WhatsApp messages about Meghan Markle,https://www.thesun.co.uk/news/19064287/met-police-sacked-racist-meghan-markle/
47,SUMMER MELTDOWN,Brits holiday nightmare as airlines to 'announce new wave of cancellations',https://www.thesun.co.uk/travel/19066760/brits-holiday-nightmare-airlines-announce-more-flight-cancellations/
48,ROLLING IN IT,EuroMillions prize rolls over to £186m – you could be biggest winner EVER,https://www.thesun.co.uk/money/19066778/euromillions-rollover-tuesday-biggest-ever-jackpot/
49,TREVOR KAVANAGH,Covid public inquiry is a waste of time and money - I know who is to blame,https://www.thesun.co.uk/news/19065084/covid-public-inquiry-trevor-kavanagh/
50,SHOW ME THE MONEY,Worker vanishes after being wrongly paid £150k - 300 times his salary,https://www.thesun.co.uk/news/19065098/worker-vanishes-accidentally-paid-150000-for-month-work/
